id,desc,sql_template,searching_tag1,searching_tag2,searching_tag3,searching_tag4,searching_tag5,searching_tag6,searching_tag7,searching_tag8,searching_tag9,searching_tag10,searching_tag11,searching_tag12,searching_tag13,searching_tag14,searching_tag15,searching_tag16,searching_tag17,searching_tag18,searching_tag19,searching_tag20
1,"Список клиентов","EXEC web_test","продажи и клиенты",справочники,средне,"за последний день",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Просроченная задолженность — не погашенная в срок задолженность по основному долгу и/или плановым процентам за пользование ссудой, а также иным платежам по кредитному договору (договору об открытии невозобновляемой кредитной линии).","EXEC sp_overdue","продажи и клиенты",операции,"часто используемые","за последний квартал",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Фактической себестоимостью материально-производственных запасов, приобретенных за плату, признается сумма фактических затрат организации на приобретение, за исключением налога на добавленную стоимость и иных возмещаемых налогов (кроме случаев, предус","EXEC sp_payment","продажи и клиенты",операции,средне,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"лиентская база — это как минимум инструмент для развития и поддержания стабильности бизнеса компании. Пожалуй, это один из немногих реально действующих, эффективных инструментов для управления бизнесом. Это отнюдь не просто электронный список, что об","EXEC sp_sorder","продажи и клиенты",операции,средне,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"Оплата поставщику за поставленный товар может производиться, как за, наличный так, и по безналичному расчету. При оплате по безналичному расчету оформляется документами: Платежное поручение и Выпиской банка, подтверждающей прохождение платежа. Подроб","EXEC sp_payment","закупки и поставщики",операции,"не используются давно","за последний день",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Список поставщиков","EXEC sp_receipt","закупки и поставщики",справочники,редко,"за последний квартал",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Список сотрудников",NULL,сотрудники,справочники,"часто используемые","за последний день",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Бух. баланс",NULL,финансы,операции,средне,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"PnL отчет",NULL,финансы,операции,"не используются давно","за последнюю неделю",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"План счетов",NULL,финансы,справочники,"не используются давно","за последнюю неделю",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"Складские остатки",NULL,склад,операции,"часто используемые","за последний день",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"Складские подборы",NULL,склад,операции,редко,"за предыдущие годы",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"Складские отгрузки",NULL,склад,операции,средне,"за последний год",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
